Plot_ID,Soil_Moisture_W1,Soil_Moisture_W2,Soil_Moisture_W3,Soil_Moisture_W4,Rainfall_W1,Rainfall_W2,Rainfall_W3,Rainfall_W4,Temperature_W1,Temperature_W2,Temperature_W3,Temperature_W4,Yield_Tons_per_Hectare
P17,34.52707976654437,42.321330279193944,44.746130869855286,43.01956611048905,44.45624622395877,37.337440466355474,55.079768453058946,28.515364090519853,30.783477213595692,29.545132947706495,25.797729156169176,29.868551793566095,5.93
P18,47.14103622331597,54.025820122848245,47.89686707719186,56.40152575109453,26.526378397954172,31.1699090400804,14.991390082220606,33.07876055786584,24.490305348698367,21.409703200363303,22.324510289866777,25.633724289866777,5.12
P19,44.724606890885696,55.91727096939221,55.74191481825973,52.99316311217804,24.223483704713047,16.708481652551495,13.648594006063737,22.500536533019023,29.410063000903953,30.76969589885475,28.243098927524798,31.441016481474175,5.51
P20,46.68477673901625,40.307814516553435,48.15883077135555,42.327408517789834,38.892442084086,45.97116459284587,-4.0,54.921717969510986,31.021377455469267,29.59242892511888,30.795732727128488,33.91536574236761,8.34
P21,55.94220723673748,51.68164777442924,61.17927552411041,68.05298834461895,19.205309670449306,38.87635980782089,32.98624768310309,41.085928527777824,22.32383608395511,22.63713108777075,23.575487369559145,22.466396759948772,6.61
P22,26.514553649268002,34.320969208158985,33.782817152107974,42.19891903064061,35.4115997439555,39.699674889297214,35.96565506802534,38.66032683982299,23.555979209974762,25.55825697316781,27.83891107051023,23.74938224868885,5.13
P23,43.0562057883827,47.51279652991909,51.44975749608922,39.979268455395484,53.188525583258595,57.72857878329299,47.6499386069699,43.01668345319694,31.55246008468185,29.051232806740018,30.71350984140738,27.76560316967156,7.48
P24,42.47906232966609,47.548229280046094,40.39521841778627,52.18724177491682,31.863027524290974,48.03411007533596,47.915744411149014,50.029604744338684,32.407520510111105,29.19595945153117,29.427596473120516,31.82879924953778,6.82
P25,44.608189367151645,46.843998349846245,53.92708483768279,47.61939101754483,15.690300998850836,19.27273716537374,20.585639873704157,28.701249302922612,22.702694570860597,26.06949910710761,25.82185609338761,25.57680109338761,3.81
P26,64.21541989992488,65.22337562128733,75.10931658477044,69.59246147443281,23.74355874726574,17.684944349662796,26.905774600464117,20.88583910656836,25.672300841397192,24.076495292697984,21.788554477419353,24.806325370755754,6.84
P27,42.89194889881414,39.72233903307459,35.78426966068095,48.02992918137141,38.96084061987852,29.685058210058358,33.07646059989336,29.68115810942195,25.42334932835188,27.504217882013638,26.66410930647443,26.726205001970186,6.27
P28,54.975778132125455,56.66260248920891,50.487888888530605,50.715965944785914,21.419462017284147,18.336547176914713,17.50305259313229,17.20635908449676,65.0,25.779117270198526,28.439918138160944,25.785022200501466,6.59
P29,49.25049513836851,51.43631728509494,56.9448395799199,62.7634634007033,14.756184708969865,10.453229287501465,23.049545822865838,18.526330556528947,27.734941449838246,29.306018792854058,26.494272199680886,31.98834571523622,7.3
P30,30.061954629543834,31.469705775811065,32.090638238218915,38.1719211434824,24.493001216349462,42.0900137057249,38.84641298510607,34.93238437710482,25.11063567857621,28.33841882504901,27.921478416617653,26.50113241089327,6.98
P31,55.70811123307535,53.591253310396745,49.29847692072687,62.66209487602998,46.559705813879425,26.425491411555623,43.56221875076726,36.068676888992684,27.23074272432109,23.702510145020124,27.63670741569051,27.31596515764518,7.38
P32,41.448690583103456,30.753390206831067,39.9137798215218,50.5549298607614,31.178425377436465,25.662778241630754,40.995495423746426,34.43664123777342,28.563908280228357,28.61158508554514,29.145835363742687,30.743311716661978,5.41
P33,29.95619253018473,35.332665104734055,30.040545150780652,35.62512313939683,10.450210762536505,41.933976124339054,19.514748347826206,30.859603322355937,23.708788382107155,24.13804980406814,24.21604343856418,24.00356175021523,7.07
P34,66.77712660681425,70.51069785103277,73.07338364330924,68.43674066834589,12.38495945257998,14.526826620731537,18.146132975767365,10.561239759398564,25.201599145867398,24.987668958635997,28.45090250002234,25.585370133086972,6.65
P35,62.84360645295223,69.90084860619469,66.77816015181335,68.42770917485475,36.44201426941282,40.847521689347744,16.840653516068173,23.936221505834048,29.085619007347997,29.9397504956808,29.674759030042864,28.313482035337532,7.44
P36,56.1048608042551,62.41295825778271,72.83556594974615,62.50684249983126,30.61743321805155,39.93186920206811,49.86449057991027,51.92086183917528,29.786272412326557,30.211282277782644,31.404370360005263,31.71691723917519,7.87
